HHKEY,ZIP_CODE,REC,FRE,MON,CC_CARD,AVRG,PC_CALC20,PSWEATERS,PKNIT_TOPS,PKNIT_DRES,PBLOUSES,PJACKETS,PCAR_PNTS,PCAS_PNTS,PSHIRTS,PDRESSES,PSUITS,POUTERWEAR,PJEWELRY,PFASHION,PLEGWEAR,PCOLLSPND,AMSPEND,PSSPEND,CCSPEND,AXSPEND,TMONSPEND,OMONSPEND,SMONSPEND,PREVPD,GMP,PROMOS,DAYS,FREDAYS,MARKDOWN,CLASSES,COUPONS,STYLES,STORES,STORELOY,VALPHON,WEB,MAILED,RESPONDED,RESPONSERATE,HI,LTFREDAY,CLUSTYPE,PERCRET,RESP
9.9556E+12,1001,208,2,368.46,0,184.23,11,0.18,0,0,0.3,0,0.25,0,0.19,0,0,0,0,0.02,0.03,0.29,0,0,368.46,0,0,0,0,0,0.6,17,666,333,0.08,9,1,11,1,7,N,0,5,0,0,31.81,111,10,0,0
9.9556E+12,1028,6,4,258,1,64.5,11,0.26,0.16,0,0,0,0.18,0.14,0,0.18,0,0,0,0,0.02,0.37,0,0,258,0,138,55.99,258,0,0.54,14,696,174,0.33,6,0,14,1,7,Y,0,4,2,50,32.72,43.5,10,0.03,1
9.9556E+12,1056,327,2,77,0,38.5,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,39,0.62,10,343,171.5,0.11,1,0,2,1,7,N,0,4,0,0,100,68.6,16,0,0
9.9556E+12,1118,66,8,846.06,1,105.75,11,0.38,0,0.05,0.06,0.2,0.17,0,0.05,0,0,0,0.005307,0.03,0.01,0,0,0,846.06,0,104.94,0,373.87,166.25,0.43,24,701,87.62,0.29,15,3,35,1,7,Y,0,9,6,66.67,23.27,26.96,10,0,0
9.9556E+12,1107,49,1,87.44,0,87.44,11,0.2,0.2,0,0,0,0,0.41,0,0,0,0,0.17,0,0,0,0,0,87.44,0,87.44,0,87.44,0,0.22,0,49,49,0.42,4,0,8,1,7,Y,0,0,0,0,28.52,24.5,20,0,0
9.9556E+12,1106,26,2,120,0,60,11,0,0.56,0,0,0,0,0,0,0,0,0,0.02,0.4,0,0,0,58,62,0,62,62,120,0,0.47,3,145,72.5,0.41,3,0,5,2,7,Y,0,0,0,0,48.84,72.5,3,0,0
9.9556E+12,1118,145,1,782.08,1,782.08,11,0.12,0,0,0,0.57,0.12,0,0.17,0,0,0,0,0,0,0,0,0,782.08,0,0,0,782.08,0,0.66,15,145,145,0.1,4,1,13,1,7,Y,0,4,0,0,39.51,36.25,10,0,0
9.9556E+12,1106,356,1,79,0,79,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0.56,6,447,447,0.19,1,0,2,1,7,Y,0,4,1,25,100,149,10,0,0
9.9556E+12,1104,264,1,318.5,0,318.5,11,0.24,0,0,0,0.31,0.18,0,0,0.26,0,0,0,0,0,0.49,0,0,318.5,0,0,0,0,0,0.68,14,264,264,0.07,5,0,6,1,7,N,0,3,0,0,50.42,264,23,0,0
9.9556E+12,1104,23,12,1663.46,1,138.62,11,0.25,0.04,0.01,0.06,0.11,0.24,0.03,0.14,0,0,0,0.02,0.04,0.02,0,0,0,922.36,741.1,536.57,237.18,936.97,347.99,0.53,26,684,57,0.23,22,1,77,2,7,Y,0,11,7,63.64,16.97,17.53,23,0,1
9.9556E+12,1201,144,7,632.08,1,90.29,11,0.38,0.21,0,0.03,0.24,0,0.03,0,0,0,0,0,0.02,0.07,0,0,0,486.16,145.92,0,0,116,0,0.53,25,698,99.71,0.24,11,2,36,3,7,Y,1,8,2,25,26.22,26.84,23,0,1
9.9556E+12,1267,118,1,172.99,0,172.99,16,0,0.15,0,0.33,0,0,0.22,0,0.28,0,0,0,0,0,0,0,160.99,12,0,0,0,172.99,0,0.65,3,118,118,0.04,4,0,5,2,2869,Y,0,0,0,0,26.78,59,16,0,0
9.9556E+12,1331,12,5,106.38,0,21.27,16,0.12,0,0,0,0,0,0,0,0,0,0.15,0.02,0.08,0,0,0,75.99,30.39,0,65.39,0,106.38,0,0.53,15,369,73.8,0.14,6,0,6,3,2611,N,0,8,2,25,5.02,52.71,31,1.48,0
9.9556E+12,1373,276,1,87.48,0,87.48,16,0.85,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,49.98,37.5,0,0,0,0,0,0.31,3,276,276,0.29,2,0,4,2,2554,Y,0,0,0,0,74.69,138,16,0,0
9.9556E+12,1452,48,4,491.17,1,122.79,16,0.19,0.07,0.15,0.22,0,0,0,0.14,0,0,0.2,0,0,0,0,0,469.42,21.75,0,96.95,0,159.2,0,0.48,16,352,88,0.3,7,1,18,2,2638,Y,0,4,1,25,18.29,32,16,0,0
9.9556E+12,1462,29,4,107.21,0,26.8,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.22,32.99,0,59.97,15,59.97,0,0.27,5,271,67.75,0.38,2,0,6,2,2611,N,0,0,0,0,100,67.75,10,0,0
9.9556E+12,1450,61,2,158.98,1,79.49,16,0.39,0,0.19,0,0,0,0.12,0.28,0,0,0,0,0,0,0,0,109.98,49,0,89.99,0,89.99,0,0.53,15,685,342.5,0.28,5,1,6,3,2638,Y,0,7,0,0,29.16,57.08,6,0,0
